"origem","estado_origem","destino","estado_destino","aliquota"
MS,Mato Grosso do Sul,PI,Piauí,12.0
MS,Mato Grosso do Sul,RN,Rio Grande do Norte,12.0
MS,Mato Grosso do Sul,RS,Rio Grande do Sul,12.0
MS,Mato Grosso do Sul,RJ,Rio de Janeiro,12.0
MS,Mato Grosso do Sul,RO,Rondônia,12.0
MS,Mato Grosso do Sul,RR,Roraima,12.0
MS,Mato Grosso do Sul,SC,Santa Catarina,12.0
MS,Mato Grosso do Sul,SP,São Paulo,12.0
MS,Mato Grosso do Sul,SE,Sergipe,12.0
MS,Mato Grosso do Sul,TO,Tocantins,12.0
MG,Minas Gerais,AC,Acre,7.0
MG,Minas Gerais,AL,Alagoas,7.0
MG,Minas Gerais,AM,Amazonas,7.0
MG,Minas Gerais,AP,Amapá,7.0
MG,Minas Gerais,BA,Bahia,7.0
MG,Minas Gerais,CE,Ceará,7.0
MG,Minas Gerais,DF,Distrito Federal,7.0
MG,Minas Gerais,ES,Espírito Santo,7.0
MG,Minas Gerais,GO,Goiás,7.0
MG,Minas Gerais,MA,Maranhão,7.0
MG,Minas Gerais,MT,Mato Grosso,7.0
MG,Minas Gerais,MS,Mato Grosso do Sul,7.0
MG,Minas Gerais,PA,Pará,7.0
MG,Minas Gerais,PB,Paraíba,7.0
MG,Minas Gerais,PR,Paraná,12.0
MG,Minas Gerais,PE,Pernambuco,7.0
MG,Minas Gerais,PI,Piauí,7.0
MG,Minas Gerais,RN,Rio Grande do Norte,7.0
MG,Minas Gerais,RS,Rio Grande do Sul,12.0
MG,Minas Gerais,RJ,Rio de Janeiro,12.0
MG,Minas Gerais,RO,Rondônia,7.0
MG,Minas Gerais,RR,Roraima,7.0
MG,Minas Gerais,SC,Santa Catarina,12.0
MG,Minas Gerais,SP,São Paulo,12.0
MG,Minas Gerais,SE,Sergipe,7.0
MG,Minas Gerais,TO,Tocantins,7.0
PA,Pará,AC,Acre,12.0
PA,Pará,AL,Alagoas,12.0
PA,Pará,AM,Amazonas,12.0
PA,Pará,AP,Amapá,12.0
PA,Pará,BA,Bahia,12.0
PA,Pará,CE,Ceará,12.0
PA,Pará,DF,Distrito Federal,12.0
PA,Pará,ES,Espírito Santo,12.0
PA,Pará,GO,Goiás,12.0
PA,Pará,MA,Maranhão,12.0
PA,Pará,MT,Mato Grosso,12.0
PA,Pará,MS,Mato Grosso do Sul,12.0
PA,Pará,MG,Minas Gerais,12.0
PA,Pará,PB,Paraíba,12.0
PA,Pará,PR,Paraná,12.0
PA,Pará,PE,Pernambuco,12.0
PA,Pará,PI,Piauí,12.0
PA,Pará,RN,Rio Grande do Norte,12.0
PA,Pará,RS,Rio Grande do Sul,12.0
PA,Pará,RJ,Rio de Janeiro,12.0
PA,Pará,RO,Rondônia,12.0
PA,Pará,RR,Roraima,12.0
PA,Pará,SC,Santa Catarina,12.0
PA,Pará,SP,São Paulo,12.0
PA,Pará,SE,Sergipe,12.0
PA,Pará,TO,Tocantins,12.0
PB,Paraíba,AC,Acre,12.0
PB,Paraíba,AL,Alagoas,12.0
PB,Paraíba,AM,Amazonas,12.0
PB,Paraíba,AP,Amapá,12.0
PB,Paraíba,BA,Bahia,12.0
PB,Paraíba,CE,Ceará,12.0
PB,Paraíba,DF,Distrito Federal,12.0
PB,Paraíba,ES,Espírito Santo,12.0
PB,Paraíba,GO,Goiás,12.0
PB,Paraíba,MA,Maranhão,12.0
PB,Paraíba,MT,Mato Grosso,12.0
PB,Paraíba,MS,Mato Grosso do Sul,12.0
